"OrganizationId","OrganizationName","OrganizationSlug","OrganizationCreationDate","OrganizationDescription"
"345","Rio 2016","rio2016","12/23/2016",""
"347","IHME","IHME","12/26/2016","(IHME) Institute for Health Metrics and Evaluation

The Institute for Health Metrics and Evaluation (IHME) is an independent global health research center at the University of Washington."
"358","People HR Analytics Repository","HRAnalyticRepository","01/07/2017","A place for People/HR Analytics datasets and models"
"360","Booz Allen Hamilton","BoozAllenHamilton","01/09/2017","Booz Allen Hamilton has been at the forefront of strategy and technology for more than 100 years. Today, the firm provides management and technology consulting and engineering services to leading Fortune 500 corporations, governments, and not-for-profits across the globe. Booz Allen partners with public and private sector clients to solve their most difficult challenges through a combination of consulting, analytics, mission operations, technology, systems delivery, cybersecurity, engineering, and innovation expertise. 

With international headquarters in McLean, Virginia, the firm employs more than 22,600 people globally and had revenue of $5.41 billion for the 12 months ended March 31, 2016.

Booz Allen brings its pioneering work in advanced analytics—and the industry-leading expertise of its more than 600-member data science team—to transform our clients’ data into actions that keep them competitive in today’s data-driven economy. To learn about Booz Allen’s data science capabilities, visit our NextGen Analytics & Data Science page."
"362","PromptCloud","PromptCloudHQ","01/12/2017",""
"363","Dalia Research","daliaresearch","01/12/2017","Dalia is a technology driven company, specialising in understanding global audiences through mobile surveys. We are committed to engaging with people in a more natural environment, providing instant, relevant, global insights. Our goal is to be known as the platform and methodology of choice for global consumer understanding.

Dalia was founded in Berlin in 2013, with a clear vision to utilise mobile technology to change the way that attitudinal data is collected, analysed and presented. In just two years we have already experienced significant growth, and in 2015 Dalia was named the winner of the IIeX innovation competition awards in Amsterdam.

Today we are an ever-expanding team of data scientists, creative geniuses, programmers, political analysts, researchers, thinkers and explorers. Our office currently hosts 9 nationalities, including German efficiency, Spanish passion, British determination and French flair, with a healthy cross section of avocado advocates, coffee lovers and world travellers."
"372","National Park Service","nationalparkservice","01/17/2017","Since 1916, the National Park Service* has been entrusted with the care of our national parks, a network of over 400 natural, cultural, and recreational sites across the nation. The treasures in this system – the first of its kind in the world – have been set aside by the American people to preserve, protect, and share the legacies of this land. With the help of volunteers and partners, we safeguard these special places and share their stories with more than 275 million visitors every year.

Beyond national parks, the National Park Service helps communities across America preserve and enhance important local heritage and close-to-home recreational opportunities. Grants and assistance are offered to register, record and save historic places; create community parks and local recreation facilities; conserve rivers and streams, and develop trails and greenways.

**This is an unofficial NPS Organization profile*"
"373","Open Food Facts","openfoodfacts","01/17/2017","![Open Food Facts] (https://static.openfoodfacts.org/images/misc/openfoodfacts-logo-en-178x150.png)

### A food products database

Open Food Facts is a database of food products with ingredients, allergens, nutrition facts and all the tidbits of information we can find on product labels. 

### Made by everyone

Open Food Facts is a non-profit association of volunteers.
20000+ contributors like you have added 670 000+ products from 150 countries using our Android, iPhone or Windows Phone app or their camera to scan barcodes and upload pictures of products and their labels.

- https://play.google.com/store/apps/details?id=org.openfoodfacts.scanner
- https://itunes.apple.com/app/open-food-facts/id588797948

### For everyone

Data about food is of public interest and has to be open. The complete database is published as open data and can be reused by anyone and for any use. Check-out the cool reuses or make your own!
- <https://world.openfoodfacts.org>

### You like our work ? Contribute your skills or your money
- Join our growing AI community by self-inviting on https://slack.openfoodfacts.org
- Hack on one of our issues: https://github.com/openfoodfacts/openfoodfacts-ai
- Contribute to the project by making a donation: https://donate.openfoodfacts.org"
"374","National Health Service","nhs","01/17/2017","The National Health Service was born out of the ideal that good healthcare should be available to all, regardless of wealth. The NHS remains free at the point of use for all United Kingdom residents - more than 64.6 million people! -- with the exception of some charges, such as prescriptions, optical services, and dental services.

The NHS in England interacts with over 1 million patients every 36 hours. It covers everything, including antenatal screening, routine screenings (such as the NHS Health Check), treatments for long-term conditions, transplants, emergency treatment and end-of-life care."
"375","Lantana Camara","lantanacamara","01/18/2017","Data Enthusiast.
Connection | Prediction | Simulation"
"377","Electoral Commission","electoralcommission","01/18/2017","The Electoral Commission is the independent body which oversees elections and regulates political finance in the United Kingdom. We work to promote public confidence in the democratic process and ensure its integrity by enabling the delivery of free and fair elections and referendums, focusing on the needs of electors and addressing the changing environment to ensure every vote remains secure and accessible; regulating political finance – taking proactive steps to increase transparency, ensure compliance and pursue breaches; and using our expertise to make and advocate for changes to our democracy, aiming to improve fairness, transparency and efficiency. The Electoral Commission was established in 2000 and reports directly to the UK and Scottish Parliaments."
"378","NYPD","nypd","01/18/2017","The New York Police Department is the largest law enforcement agency in the world, providing security and safety to the residents, workers, and visitors throughout the five boroughs of New York City. There are currently over 34,000 uniformed members and over 15,000 civilian members employed by the NYPD."
"381","Department of Justice","doj","01/19/2017","The United States Department of Justice (DOJ) is a Cabinet department in the United States government whose mission is: to enforce the law and defend the interests of the United States according to the law; to ensure public safety against threats foreign and domestic; to provide federal leadership in preventing and controlling crime; to seek just punishment for those guilty of unlawful behavior; and to ensure fair and impartial administration of justice for all Americans."
"384","Department of Homeland Security","dhs","01/19/2017","The United States Department of Homeland Security is a Cabinet department of the United States federal government with a mission to secure the nation. This requires the dedication of more than 225,000 employees in jobs that range from aviation and border security to emergency response, from cybersecurity analyst to chemical facility inspector. Our primary duties and responsibilities include guarding against terrorism, securing our borders, enforcing our immigration laws, and improving our readiness for, response to and recovery from disasters.

We continually strengthen our partnerships with communities, first responders, law enforcement and government agencies — at the state, local, tribal, federal and international levels. We are accelerating the deployment of science, technology, and innovation in order to make America more secure. We are becoming leaner, smarter, and more efficient, ensuring that every security resource is used as effectively as possible."
"389","The Smithsonian Institution","smithsonian","01/20/2017","Founded in 1846, the Smithsonian is the world’s largest museum and research complex of 19 museums and galleries, the National Zoological Park and nine research facilities. There are 6,000 Smithsonian employees, including approximately 500 scientists. The total number of objects, works of art and specimens at the Smithsonian is estimated at nearly 137 million."
"392","NYC Open Data","nycopendata","01/24/2017","NYC Open Data makes the wealth of public data generated by various New York City agencies and other City organizations available for public use. As part of an initiative to improve the accessibility, transparency, and accountability of City government, this catalog offers access to a repository of government-produced, machine-readable data sets.

Anyone can use these data sets to participate in and improve government by conducting research and analysis or creating applications, thereby gaining a better understanding of the services provided by City agencies and improving the lives of citizens and the way in which government serves them.

*This page is not managed by the City of New York or any of its affiliated agencies.*"
"393","Death Penalty Information Center","usdpic","01/24/2017","The Death Penalty Information Center is a non-profit organization serving the media and the public with analysis and information on issues concerning capital punishment. The Center was founded in 1990 and prepares in-depth reports, issues press releases, conducts briefings for journalists, and serves as a resource to those working on this issue. The Center is widely quoted and consulted by all those concerned with the death penalty."
"395","United Nations Development Program","undp","01/25/2017","The United Nations Development Programme, the UN's global development network, partners with people at all levels of society to help build nations that can withstand crisis, and drive and sustain the kind of growth that improves the quality of life for everyone. On the ground in 177 countries and territories, we offer global perspective and local insight to help empower lives and build resilient nations."
"396","US Geological Survey","usgs","01/25/2017","The US Geological Survey provides science about the natural hazards that threaten lives and livelihoods, the water, energy, minerals, and other natural resources we rely on, the health of our ecosystems and environment, and the impacts of climate and land-use change. Our scientists develop new methods and tools to enable timely, relevant, and useful information about the Earth and its processes."
"397","Federal Emergency Management Agency","fema","01/25/2017","FEMA’s mission is to support our citizens and first responders to ensure that as a nation we work together to build, sustain and improve our capability to prepare for, protect against, respond to, recover from and mitigate all hazards."
"398","Washington University","wustl","01/25/2017","Washington University in St. Louis, a medium-sized, independent university, is dedicated to challenging its faculty and students alike to seek new knowledge and greater understanding of an ever-changing, multicultural world. The university has played an integral role in the history and continuing growth of St. Louis and benefits in turn from the wide array of social, cultural and recreational opportunities offered by the metropolitan area to its more than 2.8 million residents."
"399","Institute of Museum and Library Services","imls","01/26/2017","The Institute of Museum and Library Services is an independent federal agency dedicated to building the capacity of our nation's libraries and museums to serve communities.  We support projects that sustain our heritage, enhance learning and innovation, and build the skills of staff and volunteers in museums and libraries."
"400","Transparency International","transparencyint","01/26/2017","Transparency International is a global movement with one vision: a world in which government, business, civil society and the daily lives of people are free of corruption. With more than 100 chapters worldwide and an international secretariat in Berlin, we are leading the fight against corruption to turn this vision into reality."
"401","edX","edx","01/26/2017","Founded in 2012 by Harvard University and MIT, edX is an online learning destination and MOOC provider, offering high-quality courses from the world’s best universities and institutions to learners everywhere. Since 2012, edX has grown to include over 100 highly acclaimed institutions. We are proud to count the world’s leading universities, nonprofits, and institutions as our members. We offer over 1,200+ courses, with more courses added every week."
"405","US Customs and Border Protection","cbp","01/27/2017","With more than 60,000 employees, U.S. Customs and Border Protection (CBP) is one of the world's largest law enforcement organizations and responsible with keeping terrorists and their weapons out of the United States while facilitating lawful international travel and trade. CBP takes a comprehensive approach to border management and control, combining customs, immigration, border security, and agricultural protection into one department.

The men and women of CBP are responsible for enforcing hundreds of U.S. laws and regulations. On a typical day, CBP welcomes almost one million visitors, screens more than 67,000 cargo containers, arrests more than 1,100 individuals, and seizes nearly 6 tons of illicit drugs."
"406","University of Michigan","umichigan","01/27/2017","The mission of the University of Michigan is to serve the people of Michigan and the world through preeminence in creating, communicating, preserving and applying knowledge, art, and academic values, and in developing leaders and citizens who will challenge the present and enrich the future.

Disclaimer: This organization is not managed by the University of Michigan."
"407","Quora","quora","01/27/2017","Quora’s mission is to share and grow the world’s knowledge. A vast amount of the knowledge that would be valuable to many people is currently only available to a few — either locked in people’s heads, or only accessible to select groups. We want to connect the people who have knowledge to the people who need it, to bring together people with different perspectives so they can understand each other better, and to empower everyone to share their knowledge for the benefit of the rest of the world."
"411","Union of Concerned Scientists","ucsusa","01/30/2017","At the Union of Concerned Scientists, we put rigorous science to work to build a healthier planet and a safer world. Our scientists and engineers develop and implement innovative, practical solutions to some of our planet’s most pressing problems—from combating global warming and developing sustainable ways to feed, power, and transport ourselves, to fighting misinformation, advancing racial equity, and reducing the threat of nuclear war."
"414","Massachusetts Institute of Technology","mit","01/30/2017","The Massachusetts Institute of Technology (MIT) is a private research university located in Cambridge, Massachusetts. MIT is devoted to the advancement of knowledge and education of students in areas that contribute to or prosper in an environment of science and technology."
"415","United States Air Force","usaf","01/30/2017","The mission of the United States Air Force is to fly, fight and win… in air, space, and cyberspace."
"419","University of Connecticut","uconn","01/31/2017","The University of Connecticut is one of America’s top 20 public universities, according to U.S. News & World Report. It is home to more than 31,000 students, 1,300 faculty, 230,000 proud alumni, and a handsome husky named Jonathan.

The University has fourteen schools and colleges: Agriculture and Natural Resources, Business, Dental Medicine, Education, Engineering, Fine Arts, Law, Liberal Arts and Sciences, Medicine, Nursing, Pharmacy, and Social Work. Students can choose from eight undergraduate bachelor's degrees with 102 possible majors, as well as seventeen graduate/doctoral degrees and five professional degree programs (MD, JD, etc.)."
"420","New America","newamerica","02/01/2017","New America is dedicated to the renewal of American politics, prosperity, and purpose in the digital age. We carry out our mission as a nonprofit civic enterprise: an intellectual venture capital fund, think tank, technology laboratory, public forum, and media platform. Our hallmarks are big ideas, impartial analysis, pragmatic policy solutions, technological innovation, next generation politics, and creative engagement with broad audiences."
"421","University of North Texas","unt","02/01/2017","The University of North Texas is a student-focused public research university with 12 colleges and schools offering 97 bachelor’s, 81 master’s, and 35 doctoral degree programs, many nationally and internationally recognized."
"422","National Archives","nationalarchives","02/02/2017","The National Archives and Records Administration (NARA) is the nation's record keeper. Of all documents and materials created in the course of business conducted by the United States Federal government, only 1%-3% are so important for legal or historical reasons that they are kept by us forever.

Those valuable records are preserved and are available to you, whether you want to see if they contain clues about your family’s history, need to prove a veteran’s military service, or are researching an historical topic that interests you."
"424","Department of Transportation","usdot","02/02/2017","At the US Department of Transportation, we occupy a unique leadership role in global transportation.  Since our first official day of operation nearly 50 years ago, our transportation programs have evolved to meet the demands of a changing Nation.  Today, DOT is composed of the Office of the Secretary, the Surface Transportation Board, the Office of the Inspector General and 10 Operating Administrations.

At the DOT, we care about keeping Americans safe as they travel.  We care about connecting more Americans to better opportunities.  We care about infrastructure innovation, growing the economy, and tackling a host of other challenges so that we can keep America moving in the right direction.  And we want to continue bringing talented minds into public service to help us in the process."
"428","University of Pittsburgh","pitt","02/02/2017","The University of Pittsburgh is among the nation's oldest and most distinguished comprehensive universities, with a wide variety of high-quality programs in the arts and sciences as well as professional fields."
"429","Punxsutawney Groundhog Club","groundhogclub","02/02/2017",""
"430","College Board","collegeboard","02/02/2017","The College Board is a mission-driven not-for-profit organization that connects students to college success and opportunity. Founded in 1900, the College Board was created to expand access to higher education. Today, the membership association is made up of more than 5,900 of the world’s leading educational institutions and is dedicated to promoting excellence and equity in education. Each year, the College Board helps more than seven million students prepare for a successful transition to college through programs and services in college readiness and college success — including the SAT and the Advanced Placement Program. The organization also serves the education community through research and advocacy on behalf of students, educators and schools."
"431","Udacity","udacity","02/02/2017",""
"434","Central Bureau of Statistics","ilcbs","02/03/2017",""
"436","WNYC","wnyc","02/03/2017","WNYC 93.9 FM and AM 820 are New York's flagship public radio stations, broadcasting the finest programs from National Public Radio and Public Radio International, as well as a wide range of award-winning local programming."
"437","Freedom House","freedomhouse","02/03/2017","Freedom House is an independent watchdog organization that supports the expansion of freedom around the world. Freedom House supports democratic change, monitors freedom, and advocates for democracy and human rights."
"439","NYC Parks and Recreation","nycparks","02/06/2017","The New York City Department of Parks & Recreation is New York City's principal provider of recreational and athletic facilities and programs. Our parks are home to free concerts, world-class sports events, and cultural festivals. Parks & Recreation is the steward of nearly 20 percent of New York City's land, including thousands of individual properties ranging from Coney Island Beach and Central Park to community gardens and Greenstreets. We operate athletic fields, playgrounds, tennis courts, public pools, recreational facilities, nature centers, golf courses, and beaches throughout the five boroughs. We also care for monuments and historic house museums and look after hundreds of thousands of street trees."
"440","US Senate","senate","02/07/2017","The United States Senate is a legislative chamber in the bicameral legislature of the United States of America, and together with the U.S. House of Representatives makes up the U.S. Congress. First convened in 1789, the composition and powers of the Senate are established in Article One of the U.S. Constitution. Each U.S. state is represented by two senators, regardless of population, who serve staggered six-year terms. The chamber of the United States Senate is located in the north wing of the Capitol, in Washington, D.C., the national capital. The House of Representatives convenes in the south wing of the same building.

The Senate has several exclusive powers not granted to the House, including consenting to treaties as a precondition to their ratification and consenting to or confirming appointments of Cabinet secretaries, federal judges, other federal executive officials, military officers, regulatory officials, ambassadors, and other federal uniformed officers, as well as trial of federal officials impeached by the House. The Senate is widely considered to be both a more deliberative and more prestigious body than the House of Representatives, due to its longer terms, smaller size, and statewide constituencies, which historically led to a more collegial and less partisan atmosphere."
"441","Federal Aviation Administration","faa","02/07/2017","In August 1958, more than 50 years after the Wright brothers gave life to the age-old dream of flight, the FAA was created to usher in the Jet Age of commercial air transportation. Over the next five decades and up to the present day, the FAA has served as both an overseer and proponent of advancements in aviation that continue to push the limits of science and technology. 

Today we're on the leading edge of a new frontier in commercial space transportation, building the next generation of satellite-based navigation systems, and fostering the safe integration of unmanned aerial systems into our airspace. We can only dream of what the next 50 years of American ingenuity will look like, but the employees of the FAA will be working to ensure that the United States continues to lead the world in aerospace safety and innovation. 

The FAA is an operating administration within the Department of Transportation (DOT) and a proud partner in the DOT mission to serve the United States by ensuring a fast, safe, efficient, accessible and convenient transportation system that meets our vital national interests and enhances the quality of life of the American people, today and into the future. Specifically, the FAA mission is to provide the safest, most efficient aerospace system in the world."
"445","Google Cloud","google-cloud","02/08/2017","Google Cloud Platform is a cloud computing service by Google that lets you build and host applications and websites, store data, and analyze data on Google's scalable infrastructure.  Google Cloud Platform is a part of a suite of enterprise services from Google Cloud and provides a set of modular cloud-based services with a host of development tools."
"448","Murder Accountability Project","murderaccountability","02/09/2017","The Murder Accountability Project is a nonprofit group organized in 2015 and dedicated to educate Americans on the importance of accurately accounting for unsolved homicides within the United States. We seek to obtain information from federal, state and local governments about unsolved homicides and to publish this information. The Project’s Board of Directors is composed of retired law enforcement investigators, investigative journalists, criminologists and other experts on various aspects of homicide."
"449","The Marshall Project","marshallproject","02/10/2017","The Marshall Project is a nonpartisan, nonprofit news organization that seeks to create and sustain a sense of national urgency about the U.S. criminal justice system. We achieve this through award-winning journalism, partnerships with other news outlets and public forums. In all of our work we strive to educate and enlarge the audience of people who care about the state of criminal justice."
"454","Academy of Motion Picture Arts and Sciences","theacademy","02/13/2017","The Academy of Motion Picture Arts and Sciences is the world's preeminent movie related organization, comprised of 7,000+ accomplished men and women working in cinema. We recognize and uphold excellence in the motion picture arts and sciences, inspire imagination, and connect the world through the medium of motion pictures."
"455","Starbucks","starbucks","02/13/2017","By bringing people together over coffee, Starbucks has become one of the world’s best-known and best-loved companies. We purchase, roast and serve award-winning coffee. We also offer Italian-style espresso beverages, cold blended beverages, delicious food, premium teas and selected compact discs through our retail stores. We’re dedicated to serving ethically sourced coffee, caring for the environment and giving back to the communities where we do business."
"457","The Huffington Post","huffingtonpost","02/14/2017","The Huffington Post has over 90 sections globally, covering politics, business, entertainment, environment, technology, media, lifestyle, culture, comedy, healthy living, women's interest, local news and so much more. 

We've won a Pulitzer. We have the best technology team in the business. The Huffington Post has over 100,000 bloggers and nearly 200 million monthly unique visitors (comScore).

We are passionate. We are entrepreneurial. We are life learners who want to make a difference. We love working here because The Huffington Post provides an environment where we are empowered to take big risks, and because we are encouraged to care about what really matters."
"459","The Museum of Modern Art","momanyc","02/15/2017","The Museum of Modern Art (MoMA) in New York City, established in 1929 as an educational institution, is dedicated to being the foremost museum of modern art in the world.

Through the leadership of its Trustees and staff, The Museum of Modern Art manifests this commitment by establishing, preserving, and documenting a permanent collection of the highest order that reflects the vitality, complexity and unfolding patterns of modern and contemporary art; by presenting exhibitions and educational programs of unparalleled significance; by sustaining a library, archives, and conservation laboratory that are recognized as international centers of research; and by supporting scholarship and publications of preeminent intellectual merit.

Central to The Museum of Modern Art’s mission is the encouragement of an ever-deeper understanding and enjoyment of modern and contemporary art by the diverse local, national, and international audiences that it serves.

*This account is not affiliated with the Museum of Modern Art.*"
"461","The Nobel Foundation","nobelfoundation","02/15/2017",""
"463","NCAA","ncaa","02/16/2017","The National Collegiate Athletic Association is a membership-driven organization dedicated to safeguarding the well-being of student-athletes and equipping them with the skills to succeed on the playing field, in the classroom and throughout life."
"466","United Nations","unitednations","02/16/2017","Founded at the end of the Second World War, the United Nations is an international organization made up of 193 Member States committed to maintaining international peace and security."
"480","BuzzFeed","buzzfeed-deleted","02/24/2017",""
"484","Intel","intel","02/27/2017","Intel® Software sits at the intersection of hardware, interoperability, and amazing customer experiences. We partner with the global technology ecosystem to make development EASY, OPEN, and SCALABLE so developers can do what they do best: deliver groundbreaking applications and end-to-end solutions on Intel® technologies.
 
Visit the Intel® Nervana™ AI Academy to gain access to tools, Intel optimized frameworks, libraries, technical experts and training, getting started guides, and more."
"485","Sustainable Development Solutions Network","unsdsn","02/28/2017","Launched by UN Secretary-General Ban Ki-moon in August 2012, the Sustainable Development Solutions Network (SDSN) mobilizes scientific and technical expertise from academia, civil society, and the private sector in support of sustainable development problem solving at local, national, and global scales. The network promotes integrated approaches to the interconnected economic, social, and environmental challenges confronting the world and works closely with United Nations agencies, multilateral financing institutions, the private sector, and civil society."
"486","SpaceX","spacex","03/01/2017","SpaceX designs, manufactures and launches the world’s most advanced rockets and spacecraft. The company was founded in 2002 by Elon Musk to revolutionize space transportation, with the ultimate goal of making life multiplanetary. 

SpaceX has gained worldwide attention for a series of historic milestones. It is the only private company ever to return a spacecraft from low-Earth orbit, which it first accomplished in December 2010. The company made history again in May 2012 when its Dragon spacecraft attached to the International Space Station, exchanged cargo payloads, and returned safely to Earth — a technically challenging feat previously accomplished only by governments."
"489","NYC Taxi & Limousine Commission","nyctaxi","03/01/2017","The New York City Taxi and Limousine Commission (TLC), created in 1971, is the agency responsible for licensing and regulating New York City's medallion (yellow) taxicabs, for hire vehicles (community-based liveries and black cars), commuter vans, paratransit vehicles (ambulettes) and certain luxury limousines. The TLC licenses and regulates over 50,000 vehicles and approximately 100,000 drivers, and performs safety and emissions inspections of the 13,637 medallion taxicabs three times each year, as well as biennial inspections of all TLC-licensed for hire vehicles, making it the most active taxi and limousine licensing regulatory agency in the United States.

*This page is not managed by the City of New York or any of its affiliated agencies.*"
"490","TheScientistBR","TheScientistBR","03/01/2017","Publishing Data Science  research and dataset to Text Mining"
"491","JD Finance","jd-finance","03/02/2017","Established in 2013, JD Finance is the financial technology arm of JD.com. JD Finance has established seven major business lines: supply chain finance, consumer finance, crowdfunding, asset management, payment solutions, insurance and securities. It has built up China’s leading financial technology ecosystem for enterprises and consumers. In terms of business development, JD Finance will continue to drive its mobility solutions, deepen and expand its product offerings, and accelerate the pace at which it serves customers beyond JD.com.

JD Finance has enhanced risk control capabilities centered with big data and leading technology. By connecting financial and non-financial institutions, JD Finance is building a connected platform that improves the efficiency of the industry and reduces business costs as a whole.

Leveraging big data and other new technologies, such as machine learning, artificial intelligence and block chain, JD Finance has established a unique set of underlying financial infrastructure, including systems for big data, technology, risk control, payments, investment research and investment advisin. JD Finance will share its technologies, products, users, capital and assets with financial institutions and non-financial institutions, such as banks, securities and insurance companies, providing them with menu-driven and embedded services. JD Finance is committed to creating a new model for integrating finance and internet.

Based on the core principle of creating long-term social value, JD Finance constantly aims at being a globally leading fintech company. Its business closely aligns with policy goals like the development of China’s traditional economy and promoting increasing consumption."
"492","Global Footprint Network","footprintnetwork","03/02/2017","Global Footprint Network is an international think tank working to drive informed, sustainable policy decisions in a world of limited resources. Together with its partners, Global Footprint Network coordinates research, develops methodological standards, and provides decision-makers with a menu of tools to help the human economy operate within Earth's ecological limits. We work with local and national governments, investors, and opinion leaders to ensure all people live well, within the means of one planet."
"494","New York Philharmonic","nyphil","03/02/2017","Founded in 1842 by a group of local musicians led by American-born Ureli Corelli Hill, the New York Philharmonic is by far the oldest symphony orchestra in the United States and one of the oldest in the world. It currently plays around 180 concerts a year, and on May 5, 2010, gave its 15,000th concert — a milestone unmatched by any other symphony orchestra."
"495","McDonald's","mcdonalds","03/02/2017","McDonald’s is the world’s leading global foodservice retailer with over 36,000 locations in over 100 countries."
"497","Open Knowledge International","okfn","03/03/2017","Open Knowledge International is an internationally recognised non-profit working to open up all essential public interest information and see it utilized to create insight that drives change. To this end we work to create a global movement for open knowledge, supporting a network of leaders and local groups around the world; we facilitate coordination and knowledge sharing within the movement; we build collaboration with change-making organisations within our space and beyond; and, we prototype and provide a home for pioneering products. We are dedicated to promoting open data and open content in all their forms – including government data, publicly funded research and public domain cultural content.

Open Knowledge International was founded in 2004 as a UK-based non-profit. A decade later, Open Knowledge International is ready for its next phase of development. We started as an organisation leading the opening up of datasets, and now most big data portals run on CKAN.org, an open source software product developed first by us. Today, it is not only about opening up of data; it is making sure that this data is usable, useful and - most importantly - used, to improve people's lives. Our current projects (OpenSpending.org, OpenTrials.net, SchoolofData.org, and many more) all aim towards giving people access to data, the knowledge to understand it, and the power to use it in our everyday lives."
"500","Tamber","tamber","03/04/2017","Tamber is a hosted recommendation platform that lets developers personalize their apps with head-scratchingly accurate, fully real time recommendations for their users.  

20x more accurate than PredictionIO and Apache Machine Learning. 40x faster.  No code-monkeying around with out of date tutorials. No hadoop clusters.  Just users that always love what they see, and always want to see more.

Come check us out at https://tamber.com"
"504","Time Magazine","timemagazine","03/07/2017","Time is a global, breaking news multimedia brand. An essential destination for reporting on the people, places and issues that matter, Time captures the events that shape our lives through exceptional reporting, writing and photography."
"505","Planet","planet","03/07/2017","Planet designs, builds and operates the world's largest constellation of Earth-imaging satellites. Planet's mission is to image the entire Earth, every day and make global change visible, accessible, and actionable. With the complementary RapidEye constellation, Planet has an image archive from 2009 and a network over one hundred partners around the world. See change. Change the world. To learn more visit [www.planet.com][1] or follow us on Twitter [@planetlabs][2].


  [1]: https://www.planet.com
  [2]: https://twitter.com/planetlabs"
"507","Danbury AI","DanburyAI","03/07/2017",""
"513","Federal Deposit Insurance Corporation","fdic","03/09/2017","The Federal Deposit Insurance Corporation (FDIC) preserves and promotes public confidence in the U.S. financial system by insuring deposits in banks and thrift institutions for at least $250,000; by identifying, monitoring and addressing risks to the deposit insurance funds; and by limiting the effect on the economy and the financial system when a bank or thrift institution fails."
"515","Chicago Police Department","chicagopolice","03/09/2017","The Chicago Police Department, as part of, and empowered by, the community, is committed to protect the lives, property, and rights of all people, to maintain order, and to enforce the law impartially. We will provide quality police service in partnership with other members of the community. To fulfill our mission, we will strive to attain the highest degree of ethical behavior and professional conduct at all times."
"521","UC San Diego","ucsandiego","03/10/2017","Recognized as one of the top fifteen research universities worldwide, our culture of collaboration sparks discoveries that advance society and drive economic impact. Everything we do is dedicated to ensuring our students have the opportunity to become changemakers, equipped with the multidisciplinary tools needed to accelerate answers to our world’s most pressing issues."
"532","Eurostat","eurostat","03/14/2017","Eurostat is the statistical office of the European Union situated in Luxembourg. Its mission is to provide high quality statistics for Europe. While fulfilling its mission, Eurostat promotes the following values: respect and trust, fostering excellence, promoting innovation, service orientation, professional independence.

Providing the European Union with statistics at European level that enable comparisons between countries and regions is a key task. Democratic societies do not function properly without a solid basis of reliable and objective statistics. On one hand, decision-makers at EU level, in Member States, in local government and in business need statistics to make those decisions. On the other hand, the public and media need statistics for an accurate picture of contemporary society and to evaluate the performance of politicians and others. Of course, national statistics are still important for national purposes in Member States whereas EU statistics are essential for decisions and evaluation at European level."
"537","Chase Bank","chasebank","03/15/2017","At Chase, our entire company is built around making a real difference for the community, doing what's right for our customers, providing our employees with the opportunity to define unique career paths and sharing ideas that will help propel us into the future."
"540","Federal Reserve","federalreserve","03/16/2017","The Federal Reserve is the central bank of the United States—one of the world's most influential, trusted and prestigious financial organizations. The Federal Reserve is charged with the important mission of promoting a strong economy and a stable financial system and fulfills this responsibility by formulating national monetary policy, supervising and regulating banks and bank holding companies, and providing financial services for banks and the US government.

Disclaimer: This organization is not managed by the Federal Reserve."
"550","Iditarod Trail Committee","iditarod","03/20/2017","The Iditarod Trail Committee organizes the annual Iditarod Trail Sled Dog Race, the premier long distance sled dog race in the world which pits men and women and their dog teams against the historic Iditarod Trail and Mother Nature. Across the mountains and river valleys of interior Alaska, the 1,000 mile race ends along the frozen coast of the Bering Sea in the fabled gold mining settlement at Nome."
"556","Sberbank","sberbank","03/21/2017",""
"558","Anacode","anacode","03/22/2017","Anacode GmbH is a Berlin-based startup driven by a team of professionals in the fields of NLP (Natural Language Processing), software development and China business. The company develops advanced analytics solutions which help non-Chinese companies in their quest towards an independent and unbiased understanding of the Chinese market. Anacode’s proprietary technology MarketMiner comprises algorithms for data collection, data and text mining which extract fine-grained, statistically relevant insights from various types of customer and market feedback. The technology is accessible to customers, developers and analysts via a REST API."
"591","WUZZUF","WUZZUF","04/03/2017","**WUZZUF** is #1 Online Recruitment site in Egypt helping employers and job seekers find their right match through an intelligent, real-time recommendations and around the clock support."
"595","TESTIMON @ NTNU","ntnu-testimon","04/03/2017","TESTIMON is the Digital Forensics Research Group from NTNU in Gjøvik, Norway. TESTIMON is an advanced, cutting-edge, digital and computational forensics education and research group established in September 2010."
"598","Amsterdam Airport Schiphol","airport-schiphol","04/03/2017","Schiphol is Europe's third-largest airport in terms of passenger number. Schiphol ranks third in terms of cargo volume and is number three in air transport movements. Schiphol is the oldest international airport in the world to be located at the original site of its first aircraft landing. This event took place on 19 September 1916.

Schiphol is also one of the lowest lying airports in the world. The airport is located in a polder reclaimed between 1848 and 1852, at 4.5 metres below sea level. Amsterdam Airport Schipol is recognised as one of the best passenger or cargo airports in Europe."
"607","LA Times Data Desk","la-times","04/05/2017","The Los Angeles Times is the largest metropolitan daily newspaper in the country, with a daily readership of 1.4 million and 2.4 million on Sunday, more than 39 million unique latimes.com visitors monthly and a combined print and online local weekly audience of 4.3 million. The Pulitzer Prize-winning Times has been covering Southern California for more than 135 years.

*This page is not managed by the LA Times or any of its affiliated agencies.*"
